연봉,국민연금
"1,000만원",32990
"1,100만원",36740
"1,200만원",40500
"1,300만원",44240
"1,400만원",47990
"1,500만원",51750
"1,600만원",55490
"1,700만원",59240
"1,800만원",63000
"1,900만원",66740
"2,000만원",70490
"2,100만원",74250
"2,200만원",77990
"2,300만원",81740
"2,400만원",85500
"2,500만원",89240
"2,600만원",92990
"2,700만원",96750
"2,800만원",100490
"2,900만원",104240
"3,000만원",108000
"3,100만원",111740
"3,200만원",115490
"3,300만원",119250
"3,400만원",122990
"3,500만원",126740
"3,600만원",130500
"3,700만원",134240
"3,800만원",137990
"3,900만원",141750
"4,000만원",145490
"4,100만원",149240
"4,200만원",153000
"4,300만원",156740
"4,400만원",160490
"4,500만원",164250
"4,600만원",167990
"4,700만원",171740
"4,800만원",175500
"4,900만원",179240
"5,000만원",182990
"5,100만원",186750
"5,200만원",190490
"5,300만원",194240
"5,400만원",198000
"5,500만원",201740
"5,600만원",205490
"5,700만원",209250
"5,800만원",212990
"5,900만원",216740
"6,000만원",220500
"6,100만원",224240
"6,200만원",227990
"6,300만원",231750
"6,400만원",235490
"6,500만원",239240
"6,600만원",243000
"6,700만원",246740
"6,800만원",250490
"6,900만원",254250
"7,000만원",257990
"7,100만원",261740
"7,200만원",265500
"7,300만원",269240
"7,400만원",272990
"7,500만원",276750
"7,600만원",280490
"7,700만원",284240
"7,800만원",288000
"7,900만원",291740
"8,000만원",295490
"8,100만원",299250
"8,200만원",302990
"8,300만원",306740
"8,400만원",310500
"8,500만원",314240
"8,600만원",317990
"8,700만원",321750
"8,800만원",325490
"8,900만원",329240
"9,000만원",333000
"9,100만원",336740
"9,200만원",340490
"9,300만원",344250
"9,400만원",347990
"9,500만원",351740
"9,600만원",355500
"9,700만원",359240
"9,800만원",362990
"9,900만원",366750
"10,000만원",370490
"10,100만원",374240
"10,200만원",378000
"10,300만원",381740
"10,400만원",385490
"10,500만원",389250
"10,600만원",392990
"10,700만원",396740
"10,800만원",400500
"10,900만원",404240
"11,000만원",407990
"11,100만원",411750
"11,200만원",415490
"11,300만원",419240
"11,400만원",423000
"11,500만원",426740
"11,600만원",430490
"11,700만원",434250
"11,800만원",437990
"11,900만원",441740
"12,000만원",445500
"12,100만원",449240
"12,200만원",452990
"12,300만원",456750
"12,400만원",460490
"12,500만원",464240
"12,600만원",468000
"12,700만원",471740
"12,800만원",475490
"12,900만원",479250
"13,000만원",482990
"13,100만원",486740
"13,200만원",490500
"13,300만원",494240
"13,400만원",497990
"13,500만원",501750
"13,600만원",505490
"13,700만원",509240
"13,800만원",513000
"13,900만원",516740
"14,000만원",520490
"14,100만원",524250
"14,200만원",527990
"14,300만원",531740
"14,400만원",535500
"14,500만원",539240
"14,600만원",542990
"14,700만원",546750
"14,800만원",550490
"14,900만원",554240
"15,000만원",558000
